id,title,abstract
0,"additive models play an important role in semiparametric statistics . 
 this pap","additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favourably in particular in high dimensions to recent results on optimal learning rates for purely nonparametric regularized kernel based quantile regression using the gaussian radial basis function kernel , provided the assumption of an additive model is valid . 
 additionally , a concrete example is presented to show that a gaussian function depending only on one variable lies in a reproducing kernel hilbert space generated by an additive gaussian kernel , but does not belong to the reproducing kernel hilbert space generated by the multivariate gaussian kernel of the same variance .    * 
 key words and phrases . * additive model , kernel , quantile regression , semiparametric , rate of convergence , support vector machine ."
1,"we have studied the leptonic decay @xmath0 , via the decay channel @xmath1 , usi","we have studied the leptonic decay @xmath0 , via the decay channel @xmath1 , using a sample of tagged @xmath2 decays collected near the @xmath3 peak production energy in @xmath4 collisions with the cleo - c detector . 
 we obtain @xmath5 and determine the decay constant @xmath6  mev , where the first uncertainties are statistical and the second are systematic ."
2,"in 84 , 258 ( 2000 ) , mateos conjectured that current reversal in a classical d","in 84 , 258 ( 2000 ) , mateos conjectured that current reversal in a classical deterministic ratchet is associated with bifurcations from chaotic to periodic regimes . 
 this is based on the comparison of the current and the bifurcation diagram as a function of a given parameter for a periodic asymmetric potential . 
 barbi and salerno , in 62 , 1988 ( 2000 ) , have further investigated this claim and argue that , contrary to mateos claim , current reversals can occur also in the absence of bifurcations . 
 barbi and salerno s studies are based on the dynamics of one particle rather than the statistical mechanics of an ensemble of particles moving in the chaotic system . 
 the behavior of ensembles can be quite different , depending upon their characteristics , which leaves their results open to question . in this paper we present results from studies showing how the current depends on the details of the ensemble 
 used to generate it , as well as conditions for convergent behavior ( that is , independent of the details of the ensemble ) . 
 we are then able to present the converged current as a function of parameters , in the same system as mateos as well as barbi and salerno . 
 we show evidence for current reversal without bifurcation , as well as bifurcation without current reversal . 
 we conjecture that it is appropriate to correlate abrupt changes in the current with bifurcation , rather than current reversals , and show numerical evidence for our claims ."
3,the effect of a random phase diffuser on fluctuations of laser light ( scintilla,"the effect of a random phase diffuser on fluctuations of laser light ( scintillations ) is studied . 
 not only spatial but also temporal phase variations introduced by the phase diffuser are analyzed . 
 the explicit dependence of the scintillation index on finite - time phase variations is obtained for long propagation paths . 
 it is shown that for large amplitudes of phase fluctuations , a finite - time effect decreases the ability of phase diffuser to suppress the scintillations ."
4,with a special intention of clarifying the underlying spin contents of the nucle,"with a special intention of clarifying the underlying spin contents of the nucleon , we investigate the generalized form factors of the nucleon , which are defined as the @xmath0-th @xmath1-moments of the generalized parton distribution functions , within the framework of the chiral quark soliton model . 
 a particular emphasis is put on the pion mass dependence of final predictions , which we shall compare with the predictions of lattice qcd simulations carried out in the so - called heavy pion region around @xmath2 . 
 we find that some observables are very sensitive to the variation of the pion mass . 
 it will be argued that the negligible importance of the quark orbital angular momentum indicated by the lhpc and qcdsf lattice collaborations might be true in the unrealistic heavy pion world , but it is not necessarily the case in our real world close to the chiral limit ."
5,we improve the currently known thresholds for basisness of the family of periodi,"we improve the currently known thresholds for basisness of the family of periodically dilated @xmath0-sine functions . 
 our findings rely on a beurling decomposition of the corresponding change of coordinates in terms of shift operators of infinite multiplicity . 
 we also determine refined bounds on the riesz constant associated to this family . 
 these results seal mathematical gaps in the existing literature on the subject ."
6,we report on strong enhancement of mid - infrared second harmonic generation ( s,"we report on strong enhancement of mid - infrared second harmonic generation ( shg ) from sic nanopillars due to the resonant excitation of localized surface phonon - polaritons within the reststrahlen band . 
 the magnitude of the shg peak at the monopole mode experiences a strong dependence on the resonant frequency beyond that described by the field localization degree and the dispersion of linear and nonlinear - optical sic properties . comparing the results for the identical nanostructures made of 4h and 6h sic polytypes 
 , we demonstrate the interplay of localized surface phonon polaritons with zone - folded weak phonon modes of the anisotropic crystal . tuning the monopole mode in and out of the region where the zone - folded phonon is excited in 6h - sic , we observe a prominent increase of the already monopole - enhanced shg output when 
 the two modes are coupled . envisioning this interplay as one of the showcase features of mid - infrared nonlinear nanophononics , we discuss its prospects for the effective engineering of nonlinear - optical materials with desired properties in the infrared spectral range . 
 light localization in sub - wavelength volumes is a core of modern nanophotonics . 
 conventional methods of achieving strong confinement of the electromagnetic fields extensively utilize unique properties of surface plasmons . 
 a remarkable variety of objects and materials supporting these excitations ensures the key role of plasmonics in a broad range of applications @xcite . 
 apart from unparalleled sensitivity of plasmonic structures to the optical properties of the environment , strong light localization facilitates nonlinear - optical effects @xcite . 
 owing to the spectral tunability of the localized plasmon resonances and their sizeable nonlinearity , metallic nanostructures of different shapes and sizes have earned their place in nonlinear photonics .    despite obvious advantages of plasmon - based nanophotonics , metallic nanoobjects exhibit significant optical losses , which lower the quality factor of the localized surface plasmon modes . 
 fast plasmon damping ( typically on the order of 10 fs ) due to ohmic losses @xcite thus inhibits nonlinear - optical conversion . 
 an alternative , promising metal - free approach has been suggested , utilizing polar dielectrics such as sic @xcite or bn @xcite for high - quality light confinement in the mid - infrared ( ir ) . in these materials , 
 the subdiffractional confinement of electromagnetic radiation relies upon surface phonon polaritons ( sphp ) in the reststrahlen band : the electric polarization is created due to coherent oscillations of the ions instead of the electron or hole densities . due to the significantly longer scattering times associated with optical phonons 
 as compared to surface plasmons , the lifetimes of sphps tend to be on the order of picoseconds , much longer than their plasmonic counterparts @xcite . 
 in addition , due to energies associated with optical phonons , sphps with typical frequencies within the mid - ir ( @xmath0 ) to the thz domain hold high promise for spectroscopic and nanophotonic applications @xcite .    in this letter 
 , we undertake a first step towards the largely unexplored domain of mid - ir nonlinear nanophononics . 
 we study the nonlinear - optical response of localized sphps using nanostructures made of different polytypes of sic . using free electron laser ( fel ) radiation in the mid - ir spectral range @xcite 
 , we probe second harmonic generation from rectangular arrays of sub - diffractional , cylindrical sic nanopillars . 
 the shg yield in the reststrahlen band of sic demonstrates prominent enhancement at the wavelengths associated with the excitation of the sphp eigenmodes of the pillars . depending on both the size and the spatial periodicity of the pillars , 
 the shg - probed eigenmode exhibits a spectral shift accompanied with strong variations of the shg intensity . analyzing different sic polytypes 
 , we demonstrate the interplay of the localized sphps with the zone - folded optical phonon modes . 
 we further conclude that strong coupling of the two modes allows for a significant additional modulation of the sphp - enhanced shg output . 
 the schematic of our experimental approach is outlined in fig . 
 [ general],a . 
 we employed a non - collinear shg configuration discussed elsewhere @xcite to perform spectroscopic shg measurements on square arrays of 1  @xmath1m - tall 4h - sic and 6h - sic pillars with the main axis of the arrays in the _ xz _ plane of incidence . 
 the fundamental radiation incident at 28 and 62 degrees with respect to the normal to the sample surface was focused onto the sample with a peak fluence on the order of 10 mj/@xmath2 . 
 both 4h and 6h - sic samples were c - cut so that the _ c_-axis of the crystals was parallel to the surface normal . 
 typical shg and linear reflectivity spectra collected using the fel radiation for the two incident polarisations are presented in fig . 
 [ general],b - e . 
 there , the respective spectra of the bare substrate are shown for comparison . 
 for _ p_-polarised fundamental radiation ( fig . 
 [ general],d ) , the shg response features two pronounced peaks located at the zone - center frequencies of transverse and longitudinal optical phonons in sic @xcite , around 797 @xmath3 and 965 @xmath3 , respectively . the corresponding shg spectrum from the nanopillars demonstrate a much stronger shg signal at around 900 @xmath3 . due to the absence of this peak in the shg spectrum 
 when the fundamental radiation is _ 
 s_-polarised , we attribute this shg feature to the excitation of the monopole sphp mode in the nanopillars @xcite .    in general , 
 the outgoing shg field @xmath4 is related to the incident electromagnetic fields @xmath5 via the so - called local field factors @xmath6 :    @xmath7    where @xmath8 is the nonlinear polarisation and @xmath9 is the nonlinear susceptibility tensor . 
 the excitation of the sphp monopole mode leads to strong localization of the _ z_-projection of the fundamental electric field @xmath10 ( normal to the surface plane ) and thus a resonant enhancement of @xmath11 . 
 the latter results in a pronounced increase of the shg output when the fundamental radiation is _ p_-polarised . 
 however , the sphp dipole modes observed in the range of 920960  @xmath3 rely on the resonant enhancement of the in - plane electric fields described by the local field factors @xmath12 and thus can be excited with both _ 
 p_- and _ s_-polarised fundamental radiation . 
 the total shg response is given by a vector sum of the terms on the right hand side of eq . 
 ( 1 ) originating from various tensor components of the nonlinear susceptibility @xmath13 . 
 as the strength of @xmath14 is the largest in this spectral range @xcite , the sphp monopole mode , with an enhancement of @xmath11 , naturally results in a higher shg output than the dipole modes . 
 the results of the systematic studies of the shg response of various arrays of nanopillars are summarized in fig . 
 [ shifts ] for the 4h - sic ( a , c ) and 6h - sic ( b , d ) samples . 
 the panels ( a - b ) illustrate the evolution of the shg spectra upon varying pillar diameter @xmath15 . 
 it is seen that upon decreasing @xmath15 , the sphp monopole - driven shg peak exhibits a clear redshift . 
 remarkably , while the sphp monopole mode shifts in the range of about 890 - 910 @xmath3 , the shg enhancement factor associated with the excitation of the sphp monopole mode varies strongly with @xmath15 . 
 the panels ( c - d ) offer a zoom - in into the evolution of the sphp monopole mode - driven shg for a large variety of nanopillar arrays , indicating that the variations of the shg enhancement are observed for both 4h and 6h samples . 
 the dependences of the sphp monopole - driven shg output on the spectral position of the sphp monopole mode for the two sic polytypes are shown in fig . 
 [ analysis],a with open symbols . 
 = 1200 , 1100 and 1000 nm , respectively . 
 , scaledwidth=47.0% ]        the strong dispersion in the sic reststrahlen band suggests that the observed spectral dependence of the shg enhancement could be captured in numerical simulations . 
 we calculated shg response using both linear and nonlinear sic dispersion@xcite , the results of the simulation of the linear optical response@xcite , and nonlinear polarization @xmath16 from eq . 
 ( 1 ) spatially integrated over the sic volume , with the following non - zero components of the nonlinear susceptibility : @xmath14 , @xmath17 and @xmath18 . 
 the resultant shg spectra simulated with comsol multiphysics software ( www.comsol.com ) are shown in fig . 
 [ analysis],b with full symbols . 
 it is seen that the steep experimental dependence can not be quantitatively described within the simple model used in the calculations , which yields only a moderate increase of the shg output when the sphp monopole mode frequency is decreased . 
 we note the work of carpetti _ 
 et al_. @xcite where the authors thoroughly examined plasmon - induced shg enhancement from arrays of au nanoparticles as a function of the inter - particle distance @xmath19 . in the regime of @xmath20 ( as it is in our case ) , the dependence of the shg output on @xmath19 was explained in terms of the changing filling factor ( and thus the associated number of active nanoemitters ) . 
 for very small inter - particle gaps ( @xmath21 ) , a modulation of the shg output has been attributed to the modification of the electromagnetic field localization in the gaps @xcite . 
 further , a large mismatch between the spatial period of the nanopillars @xmath22 and the resonant light wavelength @xmath23 rules out the excitation of propagating surface polaritons @xcite which are known to enhance the shg output @xcite . 
 since all these effects are included in our simulations , we conclude that the origin of the observed shg enhancement is unrelated to the periodicity of the array . 
 an alternative scenario for the observed trend could invoke modifications of the non - local shg contribution enhanced by a regular array structure . 
 the importance of the non - local shg was already demonstrated in a number of subwavelength - separated plasmonic nanoobjects @xcite . 
 the amplitude and phase of this non - local shg source depends on the electric field distribution , i.e. on both the pillar size @xmath15 and the periodicity @xmath24 . 
 as such , the interference conditions between the shg sources vary for different samples , thus resulting in a strong modification of the shg output . 
 further , the apparent difference in the shape of the resonant shg output for the 4h and 6h samples ( see fig .  [ shifts ] ) is related to the anisotropic nature of sic . 
 the hexagonal sic polytypes are known to exhibit zone - folded weak modes in the reststrahlen region @xcite originating from particular stacking of the atomic layers along the _ 
 c_-axis of the crystal @xcite . 
 these weakly ir - active zone - folded modes can be visualised in the reflectivity measurements at oblique incidence @xcite . 
 although zone - folded modes exist in both 4h and 6h polytypes , different stacking of the sic atomic layers is responsible for them having different frequencies , as illustrated in fig . 
 [ analysis],c - d . 
 the additional periodicity in the crystal results in folding of the large brillouin zone thus modifying the phonon dispersion and making the excitation of phonons with non - zero wavevectors ( @xmath25 ) possible . 
 it is seen in fig . 
 [ analysis],d that the zone - folded mode in the 6h - sic polytype with the reduced wavevector @xmath26 @xmath27 can be excited in the range of @xmath28  @xmath3 which is close to the typical monopole sphp resonant frequency of the sic nanopillars discussed above . 
 in particular , the interaction of the sphp and zone - folded mode which shifted the apparent spectral positions of the monopole sphp eigenmode in the linear response @xcite , is seen responsible for the complex structure of the resonant shg output in our experiments ( fig . 
 [ shifts],d ) . 
 the weak ir activity of the zone - folded modes is related to the large negative dielectric permittivity of sic in the reststrahlen band . as such , the out - of - plane component of the electromagnetic field @xmath10 remains small which inhibits the coupling of incident light to the zone - folded phonon mode . 
 however , the excitation of the sphp monopole mode in the nanopillars drives a strong increase of @xmath10 , which facilitates the sphp monopole interaction with the zone - folded phonon ( fig . 
 [ analysis],c ) . 
 figure  [ analysis],a illustrates the effect of the zone - folded mode on the observed shg output . 
 the open red squares ( 4h ) and blue circles ( 6h ) depict the shg intensity obtained at the sphp monopole ( resonant ) frequencies , and the dashed lines illustrate a clear correlation between the maximum shg output and the spectral position of the sphp monopole peak . 
 similar trends are observed for the 4h and 6h - sic samples as long as the sphp monopole and the zone - folded mode are well - separated . 
 when these two resonances start to overlap , an additional enhancement of the shg output produced at the sphp monopole resonance in 6h - sic samples is observed . 
 moreover , the dependence of the shg signal at the frequency of the zone - folded mode @xmath29  @xmath3 ( green triangles ) exhibits a much faster increase when the two resonances are brought together ( dotted line ) , indicating an efficient interplay between the sphp monopole and the zone - folded mode . 
 we note that the interaction of the localized sphp eigenmodes and the intrinsic excitations of the medium is a unique fingerprint of mid - ir nanophononics . indeed 
 , surface plasmon excitations in metals rely on the free electron gas , which is essentially isotropic . as such , the shg output of plasmonic nanostructures is ( i ) largely determined by the metal of choice , usually au , ( ii ) exhibits only weak spectral dependence @xcite and ( iii ) is limited by robust phase relations in the likely case of multiple shg sources @xcite . on the contrary , the flexibility of the sphps is provided by the coupling of the surface phonon polariton excitations to the intrinsic bulk phonon modes . the latter can be engineered by designing artificial metamaterials based on hybrid multilayer structures @xcite , thus allowing for an effective control of their optical properties . to summarize , 
 we have observed shg output enhancement associated with the excitation of the sphp eigenmodes in an array of nanopillars grown from sic of different polytypes . 
 the strongest shg output is associated with the excitation of the monopole sphp mode characterized by strong localization of the normal to surface projection of the electric field @xmath10 . 
 the spectral positions of the shg peaks shift according to the geometric parameters of the nanophononic structures . 
 we found a strong dependence of the magnitude of the shg enhancement on the resonant frequency . 
 this experimentally observed dependence can not be quantitatively described by simply taking into account the sub - diffractional field localization and the dispersion of the linear and nonlinear optical properties of sic . 
 further , we discuss the interplay of the sphps and the intrinsic crystalline anisotropy for an efficient nonlinear - optical conversion . this mechanism is supported by the shg spectral measurements on the 6h - sic nanopillars where excitation of the sphp monopole mode interacting with the weak zone - folded phonon resulted in an additional enhancement of the shg output . 
 the presence of intrinsic resonances strongly alters the phase relations in their vicinity , providing a natural way for optimizing the shg response in a relatively narrow spectral range . 
 our findings demonstrate high potential of mid - ir nonlinear nanophononics as a novel and promising platform for nonlinear optics and illustrate the rich opportunities it provides for efficient control over nonlinear - optical response . 
 the authors thank g.  kichin and a.  kirilyuk ( radboud university nijmegen ) for stimulating discussions . 
 s.a.m . acknowledges the office of naval research , the royal society , and the lee - lucas chair in physics . a.j.g . acknowledges financial support from the nrc / nrl postdoctoral fellowship program . 
 funding for j.d.c . was provided by the office of naval research through the naval research laboratory s nanoscience institute ."
7,synaptic memory is considered to be the main element responsible for learning an,"synaptic memory is considered to be the main element responsible for learning and cognition in humans . 
 although traditionally non - volatile long - term plasticity changes have been implemented in nanoelectronic synapses for neuromorphic applications , recent studies in neuroscience have revealed that biological synapses undergo meta - stable volatile strengthening followed by a long - term strengthening provided that the frequency of the input stimulus is sufficiently high . 
 such `` memory strengthening '' and `` memory decay '' functionalities can potentially lead to adaptive neuromorphic architectures . in this paper , we demonstrate the close resemblance of the magnetization dynamics of a magnetic tunnel junction ( mtj ) to short - term plasticity and long - term potentiation observed in biological synapses . we illustrate that , in addition to the magnitude and duration of the input stimulus , frequency of the stimulus plays a critical role in determining long - term potentiation of the mtj . 
 such mtj synaptic memory arrays can be utilized to create compact , ultra - fast and low power intelligent neural systems ."
8,"this paper investigates , using prior shape models and the concept of ball scale","this paper investigates , using prior shape models and the concept of ball scale ( b - scale ) , ways of automatically recognizing objects in 3d images without performing elaborate searches or optimization . 
 that is , the goal is to place the model in a single shot close to the right pose ( position , orientation , and scale ) in a given image so that the model boundaries fall in the close vicinity of object boundaries in the image . 
 this is achieved via the following set of key ideas : ( a ) a semi - automatic way of constructing a multi - object shape model assembly . 
 ( b ) a novel strategy of encoding , via b - scale , the pose relationship between objects in the training images and their intensity patterns captured in b - scale images . ( c ) 
 a hierarchical mechanism of positioning the model , in a one - shot way , in a given image from a knowledge of the learnt pose relationship and the b - scale image of the given image to be segmented . 
 the evaluation results on a set of 20 routine clinical abdominal female and male ct data sets indicate the following : ( 1 ) incorporating a large number of objects improves the recognition accuracy dramatically . 
 ( 2 ) the recognition algorithm can be thought as a hierarchical framework such that quick replacement of the model assembly is defined as coarse recognition and delineation itself is known as finest recognition . 
 ( 3 ) scale yields useful information about the relationship between the model assembly and any given image such that the recognition results in a placement of the model close to the actual pose without doing any elaborate searches or optimization . ( 4 ) effective object recognition can make delineation most accurate ."
9,long time coverage and high radial velocity precision have allowed for the disco,"long time coverage and high radial velocity precision have allowed for the discovery of additional objects in known planetary systems . 
 many of the extrasolar planets detected have highly eccentric orbits , which raises the question of how likely those systems are to host additional planets . 
 we investigate six systems which contain a very eccentric ( @xmath0 ) planet : hd  3651 , hd  37605 , hd  45350 , hd  80606 , hd  89744 , and 16 
 cyg  b. we present updated radial - velocity observations and orbital solutions , search for additional planets , and perform test particle simulations to find regions of dynamical stability . 
 the dynamical simulations show that short - period planets could exist in the hd  45350 and 16  cyg  b systems , and we use the observational data to set tight detection limits , which rule out additional planets down to a few neptune masses in the hd  3651 , hd  45350 , and 16  cyg  b systems ."
